"id;""pers"";""duty"";""date"";""place"";""type"";""acRegistration"""
"242;""TG42660"";""Pilot Flying"";""2019-09-18"";""BKK"";""Ferry Flight"";""HS-TEQ"""
"243;""TG33877"";""Pilot Not Flying"";""2019-09-25"";""BKK"";""Ferry Flight"";""HS-THC"""
"244;""TG33877"";""Pilot Not Flying"";""2019-09-25"";""BKK"";""Ferry Flight"";""HS-THC"""
"245;""TG42263"";""Pilot Flying"";""2019-09-25"";""BKK"";""Ferry Flight"";""HS-THC"""
"246;""TG42263"";""Pilot Flying"";""2019-09-25"";""BKK"";""Ferry Flight"";""HS-THC"""
"247;""TG33877"";""Test Pilot"";""2019-09-25"";""DMK"";""Ground Test"";""HS-TEP"""
"248;""TG38900"";""Test Engineer"";""2019-09-25"";""DMK"";""Ground Test"";""HS-TEP"""
"249;""TG42780"";""Test Engineer"";""2019-09-25"";""DMK"";""Ground Test"";""HS-TEP"""
"250;""TG33877"";""Test Pilot"";""2019-09-26"";""DMK"";""Flight Test"";""HS-TEP"""
"251;""TG38900"";""Test Engineer"";""2019-09-26"";""DMK"";""Flight Test"";""HS-TEP"""
"252;""TG42780"";""Test Engineer"";""2019-09-26"";""DMK"";""Flight Test"";""HS-TEP"""
"253;""TG33877"";""Pilot Not Flying"";""2019-10-16"";""BKK"";""Ferry Flight"";""HS-TEU"""
"254;""TG36733"";""Pilot Not Flying"";""2019-10-18"";""DMK"";""Ferry Flight"";""HS-TEU"""
"255;""TG42780"";""Pilot Flying"";""2019-10-18"";""DMK"";""Ferry Flight"";""HS-TEU"""
"256;""TG28368"";""Pilot Not Flying"";""2019-10-20"";""DMK"";""Ferry Flight"";""HS-THC"""
"257;""TG28368"";""Pilot Not Flying"";""2019-10-20"";""DMK"";""Ferry Flight"";""HS-THC"""
"258;""TG42652"";""Pilot Flying"";""2019-10-20"";""DMK"";""Ferry Flight"";""HS-THC"""
"259;""TG42652"";""Pilot Flying"";""2019-10-20"";""DMK"";""Ferry Flight"";""HS-THC"""
"260;""TG39862"";""Pilot Not Flying"";""2019-10-24"";""BKK"";""Ferry Flight"";""HS-TER"""
"261;""TG39862"";""Pilot Not Flying"";""2019-10-24"";""BKK"";""Ferry Flight"";""HS-TER"""
"262;""TG44186"";""Pilot Flying"";""2019-10-24"";""BKK"";""Ferry Flight"";""HS-TER"""
"263;""TG42263"";""Test Engineer"";""2019-10-26"";""DMK"";""Ground Test"";""HS-TEQ"""
"264;""TG39862"";""Test Engineer"";""2019-10-26"";""DMK"";""Ground Test"";""HS-TEQ"""
"265;""TG28368"";""Test Pilot"";""2019-10-26"";""DMK"";""Ground Test"";""HS-TEQ"""
"266;""TG42660"";""Test Engineer"";""2019-10-27"";""DMK"";""Flight Test"";""HS-TEQ"""
"267;""TG28368"";""Test Pilot"";""2019-10-27"";""DMK"";""Flight Test"";""HS-TEQ"""
"268;""TG33868"";""Test Pilot"";""2019-10-27"";""DMK"";""Flight Test"";""HS-TEQ"""
"269;""TG42660"";""Test Engineer"";""2019-12-01"";""DMK"";""Ground Test"";""HS-TER"""
"270;""TG39833"";""Test Engineer"";""2019-12-01"";""DMK"";""Ground Test"";""HS-TER"""
"271;""TG39862"";""Test Engineer"";""2019-12-01"";""DMK"";""Ground Test"";""HS-TER"""
"272;""TG39833"";""Test Engineer"";""2019-12-01"";""DMK"";""Ground Test"";""HS-TER"""
"273;""TG28368"";""Test Pilot"";""2019-12-03"";""DMK"";""Flight Test"";""HS-TER"""
"274;""TG39833"";""Test Engineer"";""2019-12-03"";""DMK"";""Flight Test"";""HS-TER"""
"275;""TG36733"";""Test Engineer"";""2019-12-03"";""DMK"";""Flight Test"";""HS-TER"""
"276;""TG28368"";""Pilot Not Flying"";""2019-12-06"";""DMK"";""Ferry Flight"";""HS-TBA"""
"277;""TG44186"";""Pilot Flying"";""2019-12-06"";""DMK"";""Ferry Flight"";""HS-TBA"""
"278;""TG37252"";""Test Pilot"";""2020-01-07"";""DMK"";""Ground Test"";""HS-TET"""
"279;""TG42652"";""Test Engineer"";""2020-01-07"";""DMK"";""Ground Test"";""HS-TET"""
"280;""TG44186"";""Test Engineer"";""2020-01-07"";""DMK"";""Ground Test"";""HS-TET"""
"281;""TG37252"";""Test Pilot"";""2020-01-09"";""DMK"";""Flight Test"";""HS-TET"""
"282;""TG42652"";""Test Engineer"";""2020-01-09"";""DMK"";""Flight Test"";""HS-TET"""
"283;""TG44186"";""Test Engineer"";""2020-01-09"";""DMK"";""Flight Test"";""HS-TET"""
"284;""TG42652"";""Test Engineer"";""2020-01-30"";""DMK"";""Ground Test"";""HS-TES"""
"285;""TG42263"";""Test Engineer"";""2020-01-30"";""DMK"";""Ground Test"";""HS-TES"""
"286;""TG38887"";""Test Pilot"";""2020-01-30"";""DMK"";""Ground Test"";""HS-TES"""
"287;""TG42652"";""Test Engineer"";""2020-02-02"";""Dmk"";""Flight Test"";""HS-TES"""
"288;""TG28368"";""Test Pilot"";""2020-02-02"";""Dmk"";""Flight Test"";""HS-TES"""
"289;""TG38887"";""Test Pilot"";""2020-02-02"";""Dmk"";""Flight Test"";""HS-TES"""
"290;""TG39862"";""Pilot Not Flying"";""2020-02-04"";""DMK"";""Ferry Flight"";""HS-TES"""
"291;""TG28368"";""Pilot Flying"";""2020-02-04"";""DMK"";""Ferry Flight"";""HS-TES"""
"292;""TG28368"";""Pilot Flying"";""2020-02-19"";""BKK"";""Ferry Flight"";""HS-TBC"""
"293;""TG30938"";""Pilot Not Flying"";""2020-02-19"";""BKK"";""Ferry Flight"";""HS-TBC"""
"294;""TG38900"";""Test Pilot"";""2020-03-06"";""DMK"";""Ground Test"";""HS-TBB"""
"295;""TG42660"";""Test Engineer"";""2020-03-06"";""DMK"";""Ground Test"";""HS-TBB"""
"296;""TG44186"";""Test Engineer"";""2020-03-06"";""DMK"";""Ground Test"";""HS-TBB"""
"297;""TG42263"";""Pilot Not Flying"";""2020-03-27"";""VTE"";""Ferry Flight"";""HS-TEU"""
"298;""TG28368"";""Pilot Flying"";""2020-03-27"";""VTE"";""Ferry Flight"";""HS-TEU"""
"299;""TG42263"";""Pilot Not Flying"";""2020-03-27"";""VTE"";""Ferry Flight"";""HS-TEU"""
"300;""TG28368"";""Pilot Flying"";""2020-03-27"";""VTE"";""Ferry Flight"";""HS-TEU"""
