,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,flight_date,flight_number,landing_time,flight_time,onblock_time,onblock_fuel,block_time,pf,pm,pc1,pc2
452,VTSP,YSSY,HS-TKV,2022-05-24T00:00:00.000Z,THA477,2050,0809,2055,15500.0,0829,43832,26950,44248,
453,VTBS,ZSPD,HS-THE,2022-05-20T00:00:00.000Z,THA664,0715,0348,0728,26000.0,0410,44214,38893,42265,
454,VTBS,ZGGG,HS-THF,2022-05-25T00:00:00.000Z,THA678,1151,0238,1207,18800.0,0314,28368,44221,,
455,VTBS,VIDP,HS-TKP,2022-05-25T00:00:00.000Z,THA315,1515,0350,1534,10600.0,0421,45126,32094,43493,
456,WIII,VTBS,HS-THL,2022-05-25T00:00:00.000Z,THA434,0911,0257,0920,5200.0,0319,29437,44264,,
457,VTBS,WIII,HS-THL,2022-05-25T00:00:00.000Z,THA433,0443,0257,0500,21800.0,0326,44264,29437,,
458,WSSS,VTBS,HS-THM,2022-05-25T00:00:00.000Z,THA410,1519,0215,1526,3500.0,0238,44274,30936,,
459,VTBS,WSSS,HS-THM,2022-05-25T00:00:00.000Z,THA409,1126,0151,1138,5400.0,0216,30936,44274,,
460,OPIS,VTBS,HS-THM,2022-05-23T00:00:00.000Z,THA350,2252,0416,2300,7300.0,0440,44346,30947,42582,
461,ZSPD,VTBS,HS-THD,2022-05-25T00:00:00.000Z,THA665,1500,0409,1509,3100.0,0428,43937,35459,44189,
462,RJBB,VTBS,HS-TKM,2022-05-25T00:00:00.000Z,THA623,0836,0511,0844,8200.0,0533,34101,43421,,
463,VTBS,EDDM,HS-THJ,2022-05-22T00:00:00.000Z,THA924,0531,1120,0536,6400.0,1138,44183,38345,44205,
464,VTBS,VGHS,HS-TQC,2022-05-25T00:00:00.000Z,THA321,0603,0208,0611,18300.0,0229,26787,43409,,
465,VGHS,VTBS,HS-TQC,2022-05-25T00:00:00.000Z,THA322,1034,0203,1040,7000.0,0245,43409,26787,,
466,YSSY,VTBS,HS-TKX,2022-05-24T00:00:00.000Z,THA476,0857,0845,0905,7500.0,0911,42247,33623,45605,
